Wavelength (nm),Absorbance
1272.0,0.062
1273.0,0.061
1274.0,0.061
1275.0,0.060
1276.0,0.060
1277.0,0.060
1278.0,0.060
1279.0,0.059
1280.0,0.059
1281.0,0.059
1282.0,0.059
1283.0,0.059
1284.0,0.059
1285.0,0.058
1286.0,0.058
1287.0,0.057
1288.0,0.057
1289.0,0.057
1290.0,0.057
1291.0,0.056
1292.0,0.056
1293.0,0.056
1294.0,0.056
1295.0,0.055
1296.0,0.055
1297.0,0.054
1298.0,0.054
1299.0,0.054
1300.0,0.054
