Wavelength (nm),Absorbance
1200.0,0.098
1201.0,0.098
1202.0,0.098
1203.0,0.097
1204.0,0.097
1205.0,0.097
1206.0,0.097
1207.0,0.096
1208.0,0.096
1209.0,0.096
1210.0,0.096
1211.0,0.095
1212.0,0.095
1213.0,0.095
1214.0,0.095
1215.0,0.095
1216.0,0.094
1217.0,0.094
1218.0,0.093
1219.0,0.093
1220.0,0.093
1221.0,0.093
1222.0,0.092
1223.0,0.092
1224.0,0.092
1225.0,0.092
1226.0,0.091
1227.0,0.091
1228.0,0.091
1229.0,0.090
1230.0,0.091
1231.0,0.091
1232.0,0.090
1233.0,0.090
1234.0,0.089
1235.0,0.089
1236.0,0.089
1237.0,0.088
1238.0,0.088
1239.0,0.088
1240.0,0.088
1241.0,0.087
1242.0,0.087
1243.0,0.086
1244.0,0.086
1245.0,0.085
1246.0,0.085
1247.0,0.085
1248.0,0.085
1249.0,0.085
1250.0,0.084
1251.0,0.084
1252.0,0.084
1253.0,0.084
1254.0,0.084
1255.0,0.083
1256.0,0.083
1257.0,0.083
1258.0,0.083
1259.0,0.083
1260.0,0.083
1261.0,0.082
1262.0,0.081
1263.0,0.081
1264.0,0.081
1265.0,0.080
1266.0,0.079
1267.0,0.079
1268.0,0.079
1269.0,0.079
1270.0,0.079
1271.0,0.079
1272.0,0.079
1273.0,0.079
1274.0,0.078
1275.0,0.077
1276.0,0.077
1277.0,0.076
1278.0,0.077
1279.0,0.076
1280.0,0.077
1281.0,0.076
1282.0,0.077
1283.0,0.076
1284.0,0.075
1285.0,0.074
1286.0,0.074
1287.0,0.074
1288.0,0.074
1289.0,0.074
1290.0,0.074
1291.0,0.074
1292.0,0.073
1293.0,0.073
1294.0,0.072
1295.0,0.072
1296.0,0.072
1297.0,0.071
1298.0,0.071
1299.0,0.070
1300.0,0.071
