# Energy(eV)    mu(E)
6927.998500    1.327577e+00
6928.258408    1.326530e+00
6928.514274    1.325901e+00
6928.774222    1.326131e+00
6929.034190    1.325343e+00
6929.294178    1.324719e+00
6929.554187    1.324229e+00
6929.814216    1.324049e+00
6930.074266    1.323297e+00
6930.334336    1.323121e+00
6930.594426    1.322671e+00
6930.850472    1.322210e+00
6931.110603    1.321901e+00
6931.370754    1.321710e+00
6931.630926    1.321089e+00
6931.891118    1.320276e+00
6932.151330    1.319879e+00
6932.411563    1.319884e+00
6932.671816    1.319204e+00
6932.932090    1.319339e+00
6933.188317    1.318565e+00
6933.448631    1.318347e+00
6933.708965    1.317555e+00
6933.969320    1.317145e+00
6934.229696    1.316717e+00
6934.490091    1.316118e+00
6934.750508    1.315783e+00
6935.010944    1.315486e+00
6935.271401    1.314948e+00
6935.527809    1.314362e+00
6935.788306    1.314133e+00
6936.048824    1.313489e+00
6936.309363    1.312953e+00
6936.569922    1.312541e+00
6936.830501    1.312123e+00
6937.091101    1.311558e+00
6937.351721    1.311200e+00
6937.612362    1.311023e+00
6937.868950    1.310084e+00
6938.129631    1.310195e+00
6938.390333    1.309912e+00
6938.651055    1.309353e+00
6938.911798    1.309245e+00
6939.172561    1.308280e+00
6939.433344    1.307928e+00
6939.694148    1.307276e+00
6939.954973    1.307227e+00
6940.211742    1.306553e+00
6940.472607    1.306615e+00
6940.733493    1.305996e+00
6940.994399    1.305637e+00
6941.255325    1.304920e+00
6941.516272    1.304822e+00
6941.777240    1.304446e+00
6942.038228    1.303568e+00
6942.299237    1.303537e+00
6942.556187    1.303006e+00
6942.817236    1.302865e+00
6943.078306    1.302187e+00
6943.339396    1.301284e+00
6943.600507    1.301433e+00
6943.861638    1.300757e+00
6944.122790    1.300235e+00
6944.383962    1.299710e+00
6944.645155    1.299601e+00
6944.902286    1.299010e+00
6945.163520    1.298841e+00
6945.424774    1.298141e+00
6945.686048    1.297800e+00
6945.947343    1.297244e+00
6946.208659    1.296674e+00
6946.469995    1.296167e+00
6946.731351    1.296196e+00
6946.992729    1.295414e+00
6947.250042    1.295448e+00
6947.511460    1.294470e+00
6947.772898    1.294255e+00
6948.034357    1.293941e+00
6948.295837    1.293256e+00
6948.557337    1.292746e+00
6948.818857    1.292581e+00
6949.080398    1.291937e+00
6949.341960    1.291787e+00
6949.599455    1.290672e+00
6949.861058    1.290830e+00
6950.122681    1.290523e+00
6950.384324    1.289695e+00
6950.645989    1.289468e+00
6950.907673    1.289207e+00
6951.169379    1.288524e+00
6951.431105    1.288269e+00
6951.692851    1.288126e+00
6951.950528    1.287119e+00
6952.212315    1.286769e+00
6952.474123    1.286512e+00
6952.735952    1.286371e+00
6952.997801    1.285893e+00
6953.259671    1.285331e+00
6953.521561    1.284664e+00
6953.783472    1.284520e+00
6954.045404    1.283837e+00
6954.303262    1.283780e+00
6954.565235    1.283225e+00
6954.827228    1.282844e+00
6955.089241    1.282522e+00
6955.351276    1.282165e+00
6955.613330    1.281516e+00
6955.875406    1.280897e+00
6956.137502    1.280413e+00
6956.399619    1.279921e+00
6956.657660    1.279294e+00
6956.919818    1.278731e+00
6957.181996    1.278859e+00
6957.444195    1.278375e+00
6957.706414    1.278319e+00
6957.968654    1.277507e+00
6958.230915    1.276904e+00
6958.493196    1.276176e+00
6958.755498    1.275849e+00
6959.013722    1.275222e+00
6959.276065    1.275052e+00
6959.538429    1.274269e+00
6959.800813    1.274060e+00
6960.063218    1.273871e+00
6960.325644    1.273308e+00
6960.588090    1.272651e+00
6960.850557    1.271914e+00
6961.113045    1.271944e+00
6961.371451    1.271332e+00
6961.633980    1.271388e+00
6961.896529    1.270785e+00
6962.159099    1.270276e+00
6962.421690    1.269846e+00
6962.684301    1.269456e+00
6962.946933    1.268878e+00
6963.209586    1.268665e+00
6963.472259    1.268034e+00
6963.730848    1.267943e+00
6963.993563    1.267282e+00
6964.256298    1.266774e+00
6964.519054    1.266435e+00
6964.781830    1.266143e+00
6965.044627    1.265605e+00
6965.307445    1.264900e+00
6965.570284    1.264691e+00
6965.833143    1.264361e+00
6966.091915    1.264307e+00
6966.354816    1.263594e+00
6966.617737    1.263248e+00
6966.880679    1.262820e+00
6967.143641    1.262308e+00
6967.406625    1.261823e+00
6967.669629    1.261719e+00
6967.932653    1.261245e+00
6968.195699    1.260982e+00
6968.454654    1.259880e+00
6968.717741    1.259575e+00
6968.980848    1.259230e+00
6969.243976    1.258795e+00
6969.507125    1.258505e+00
6969.770295    1.258213e+00
6970.033485    1.257551e+00
6970.296696    1.257453e+00
6970.559928    1.257095e+00
6970.819067    1.256466e+00
6971.082340    1.255656e+00
6971.345634    1.255871e+00
6971.608948    1.255264e+00
6971.872283    1.254398e+00
6972.135639    1.254688e+00
6972.399016    1.253830e+00
6972.662414    1.253455e+00
6972.925832    1.252988e+00
6973.185155    1.252511e+00
6973.448614    1.252225e+00
6973.712095    1.251911e+00
6973.975596    1.251453e+00
6974.239118    1.250812e+00
6974.502660    1.250422e+00
6974.766224    1.249975e+00
6975.029808    1.249705e+00
6975.293413    1.249186e+00
6975.552920    1.248702e+00
6975.816566    1.248581e+00
6976.080233    1.247549e+00
6976.343921    1.247398e+00
6976.607630    1.246669e+00
6976.871359    1.246645e+00
6977.135110    1.246362e+00
6977.398881    1.245743e+00
6977.662673    1.245319e+00
6977.922363    1.244718e+00
6978.186197    1.244246e+00
6978.450051    1.243724e+00
6978.713926    1.243603e+00
6978.977822    1.243019e+00
6979.241738    1.242567e+00
6979.505676    1.242233e+00
6979.769634    1.241787e+00
6980.033613    1.241680e+00
6980.293488    1.241104e+00
6980.557508    1.240562e+00
6980.821549    1.240238e+00
6981.085612    1.239489e+00
6981.349695    1.239562e+00
6981.613798    1.238916e+00
6981.877923    1.238806e+00
6982.142069    1.238249e+00
6982.406235    1.237819e+00
6982.666294    1.237363e+00
6982.930502    1.236692e+00
6983.194731    1.236419e+00
6983.458980    1.235960e+00
6983.723251    1.235352e+00
6983.987542    1.235240e+00
6984.251854    1.234696e+00
6984.516187    1.234157e+00
6984.780541    1.233988e+00
6985.040785    1.233612e+00
6985.305180    1.232943e+00
6985.569597    1.232832e+00
6985.834034    1.232380e+00
6986.098492    1.232009e+00
6986.362971    1.231212e+00
6986.627471    1.230830e+00
6986.891991    1.230602e+00
6987.156533    1.230108e+00
6987.416962    1.229583e+00
6987.681545    1.228974e+00
6987.946149    1.228728e+00
6988.210774    1.228270e+00
6988.475420    1.227675e+00
6988.740086    1.227105e+00
6989.004774    1.227103e+00
6989.269483    1.226504e+00
6989.534212    1.226269e+00
6989.794826    1.225662e+00
6990.059597    1.225379e+00
6990.324389    1.224704e+00
6990.589202    1.224154e+00
6990.854036    1.224152e+00
6991.118890    1.223464e+00
6991.383766    1.223159e+00
6991.648663    1.222497e+00
6991.913581    1.222420e+00
6992.174379    1.222071e+00
6992.439339    1.221566e+00
6992.704319    1.221066e+00
6992.969320    1.220520e+00
6993.234342    1.220417e+00
6993.499385    1.219978e+00
6993.764449    1.219265e+00
6994.029534    1.218964e+00
6994.294640    1.218749e+00
6994.555624    1.217988e+00
6994.820772    1.217546e+00
6995.085940    1.217107e+00
6995.351130    1.216978e+00
6995.616340    1.216445e+00
6995.881572    1.216153e+00
6996.146824    1.215713e+00
6996.412098    1.215320e+00
6996.677392    1.214791e+00
6996.938562    1.214276e+00
6997.203898    1.213947e+00
6997.469255    1.213507e+00
6997.734633    1.213193e+00
6998.000032    1.212430e+00
6998.265452    1.212105e+00
6998.530894    1.211878e+00
6998.796356    1.210940e+00
6999.061839    1.211059e+00
6999.323194    1.209961e+00
6999.588719    1.210067e+00
6999.854265    1.209132e+00
7000.119832    1.209033e+00
7000.385420    1.208437e+00
7000.651029    1.208207e+00
7000.916659    1.207464e+00
7001.182310    1.207085e+00
7001.447982    1.206930e+00
7001.709523    1.206454e+00
7001.975237    1.206138e+00
7002.240972    1.205217e+00
7002.506728    1.205283e+00
7002.772505    1.204834e+00
7003.038303    1.204543e+00
7003.304122    1.203869e+00
7003.569962    1.203916e+00
7003.835823    1.203397e+00
7004.097551    1.202623e+00
7004.363453    1.202325e+00
7004.629377    1.202216e+00
7004.895323    1.201625e+00
7005.161289    1.200959e+00
7005.427276    1.200487e+00
7005.693284    1.200542e+00
7005.959313    1.199955e+00
7006.225364    1.199462e+00
7006.487278    1.198928e+00
7006.753370    1.198641e+00
7007.019484    1.198045e+00
7007.285618    1.197444e+00
7007.551773    1.197156e+00
7007.817950    1.197009e+00
7008.084148    1.196242e+00
7008.350367    1.195897e+00
7008.616607    1.195542e+00
7008.878707    1.195075e+00
7009.144989    1.194640e+00
7009.411292    1.194164e+00
7009.677616    1.193820e+00
7009.943961    1.193595e+00
7010.210327    1.192935e+00
7010.476715    1.192523e+00
7010.743123    1.192047e+00
7011.009553    1.191916e+00
7011.271840    1.190972e+00
7011.538312    1.191220e+00
7011.804804    1.190760e+00
7012.071318    1.189584e+00
7012.337853    1.189287e+00
7012.604409    1.189130e+00
7012.870986    1.188453e+00
7013.137585    1.188228e+00
7013.404204    1.187759e+00
7013.666678    1.187325e+00
7013.933340    1.186775e+00
7014.200022    1.186192e+00
7014.466726    1.186073e+00
7014.733451    1.185723e+00
7015.000197    1.184878e+00
7015.266965    1.184553e+00
7015.533753    1.184280e+00
7015.800563    1.183687e+00
7016.063224    1.183570e+00
7016.330076    1.182816e+00
7016.596948    1.182675e+00
7016.863842    1.181476e+00
7017.130757    1.181485e+00
7017.397694    1.180909e+00
7017.664651    1.180437e+00
7017.931630    1.180597e+00
7018.198630    1.179866e+00
7018.461479    1.179210e+00
7018.728521    1.179094e+00
7018.995584    1.178477e+00
7019.262668    1.178005e+00
7019.529774    1.177673e+00
7019.796900    1.177494e+00
7020.064048    1.177046e+00
7020.331217    1.176022e+00
7020.598408    1.175957e+00
7020.861444    1.175326e+00
7021.128677    1.175264e+00
7021.395930    1.174771e+00
7021.663205    1.174692e+00
7021.930501    1.174222e+00
7022.197819    1.173615e+00
7022.465157    1.173049e+00
7022.732517    1.172571e+00
7022.999898    1.172422e+00
7023.263122    1.171695e+00
7023.530545    1.171599e+00
7023.797990    1.171062e+00
7024.065456    1.170516e+00
7024.332943    1.170805e+00
7024.600451    1.169904e+00
7024.867980    1.169559e+00
7025.135531    1.168855e+00
7025.403103    1.168745e+00
7025.666515    1.168388e+00
7025.934129    1.167731e+00
7026.201764    1.167403e+00
7026.469421    1.166840e+00
7026.737099    1.166231e+00
7027.004798    1.165823e+00
7027.272519    1.165972e+00
7027.540261    1.165108e+00
7027.808024    1.164524e+00
7028.071624    1.164348e+00
7028.339429    1.164048e+00
7028.607256    1.163176e+00
7028.875104    1.162774e+00
7029.142973    1.162431e+00
7029.410863    1.162054e+00
7029.678775    1.161665e+00
7029.946708    1.161023e+00
7030.214662    1.160885e+00
7030.478451    1.160409e+00
7030.746447    1.159806e+00
7031.014465    1.159633e+00
7031.282505    1.158932e+00
7031.550565    1.158874e+00
7031.818647    1.158222e+00
7032.086750    1.158122e+00
7032.354875    1.157694e+00
7032.623021    1.157170e+00
7032.886998    1.156372e+00
7033.155186    1.156281e+00
7033.423395    1.155826e+00
7033.691626    1.155313e+00
7033.959878    1.155304e+00
7034.228152    1.154907e+00
7034.496447    1.154294e+00
7034.764763    1.154001e+00
7035.033101    1.153498e+00
7035.297266    1.153208e+00
7035.565646    1.152509e+00
7035.834047    1.152037e+00
7036.102470    1.152007e+00
7036.370914    1.151568e+00
7036.639379    1.151052e+00
7036.907866    1.150484e+00
7037.176374    1.150194e+00
7037.444904    1.149827e+00
7037.709258    1.149152e+00
7037.977830    1.148650e+00
7038.246424    1.148503e+00
7038.515038    1.148022e+00
7038.783674    1.147635e+00
7039.052332    1.147137e+00
7039.321010    1.147238e+00
7039.589711    1.146199e+00
7039.858432    1.146209e+00
7040.122976    1.145932e+00
7040.391740    1.145067e+00
7040.660525    1.144783e+00
7040.929332    1.144437e+00
7041.198160    1.143900e+00
7041.467010    1.143408e+00
7041.735881    1.143663e+00
7042.004774    1.142848e+00
7042.273688    1.142189e+00
7042.538421    1.142260e+00
7042.807377    1.141512e+00
7043.076355    1.141580e+00
7043.345354    1.140625e+00
7043.614375    1.140254e+00
7043.883417    1.140158e+00
7044.152480    1.139576e+00
7044.421565    1.138871e+00
7044.690672    1.138482e+00
7044.955594    1.138319e+00
7045.224743    1.137830e+00
7045.493914    1.137133e+00
7045.763105    1.137249e+00
7046.032319    1.136841e+00
7046.301553    1.136527e+00
7046.570810    1.136036e+00
7046.840087    1.135418e+00
7047.109386    1.134913e+00
7047.374499    1.134518e+00
7047.643840    1.134006e+00
7047.913204    1.133664e+00
7048.182588    1.133544e+00
7048.451994    1.133126e+00
7048.721422    1.132346e+00
7048.990871    1.132233e+00
7049.260342    1.131878e+00
7049.529834    1.131656e+00
7049.795136    1.130607e+00
7050.064671    1.130628e+00
7050.334227    1.130234e+00
7050.603804    1.129499e+00
7050.873404    1.129254e+00
7051.143024    1.129094e+00
7051.412666    1.128934e+00
7051.682330    1.128298e+00
7051.952015    1.127949e+00
7052.217508    1.127502e+00
7052.487236    1.127220e+00
7052.756985    1.127120e+00
7053.026756    1.126358e+00
7053.296548    1.126178e+00
7053.566362    1.125698e+00
7053.836198    1.125282e+00
7054.106055    1.124715e+00
7054.375933    1.124248e+00
7054.641616    1.124106e+00
7054.911537    1.123536e+00
7055.181480    1.123154e+00
7055.451444    1.123057e+00
7055.721430    1.122254e+00
7055.991437    1.122254e+00
7056.261466    1.121368e+00
7056.531517    1.121383e+00
7056.801589    1.121169e+00
7057.067462    1.120479e+00
7057.337577    1.120057e+00
7057.607713    1.119473e+00
7057.877871    1.119254e+00
7058.148051    1.118746e+00
7058.418252    1.118653e+00
7058.688474    1.118728e+00
7058.958718    1.117688e+00
7059.228984    1.117556e+00
7059.495048    1.117068e+00
7059.765357    1.116681e+00
7060.035687    1.116060e+00
7060.306039    1.115608e+00
7060.576412    1.115356e+00
7060.846807    1.114950e+00
7061.117224    1.114492e+00
7061.387662    1.114119e+00
7061.658121    1.114125e+00
7061.924376    1.113602e+00
7062.194879    1.113359e+00
7062.465403    1.112659e+00
7062.735949    1.112436e+00
7063.006516    1.111697e+00
7063.277105    1.111545e+00
7063.547716    1.111167e+00
7063.818348    1.110518e+00
7064.089002    1.110365e+00
7064.355448    1.110223e+00
7064.626145    1.109789e+00
7064.896863    1.109300e+00
7065.167603    1.108985e+00
7065.438365    1.108624e+00
7065.709148    1.107961e+00
7065.979953    1.108067e+00
7066.250780    1.107621e+00
7066.521628    1.107077e+00
7066.788266    1.107005e+00
7067.059157    1.106531e+00
